"","store_number","category_name","Date","forecast_volume","fc_sales"
"202",2633,"American Vodkas",2022-09-18,2141.55203953257,5019.11320215904
"203",2633,"American Vodkas",2022-09-25,2141.55203953257,5019.74230295036
"204",2633,"American Vodkas",2022-10-02,2141.55203953257,5019.81864306508
"205",2633,"American Vodkas",2022-10-09,2141.55203953257,5019.82790678433
"206",2633,"American Vodkas",2022-10-16,2141.55203953257,5019.82903091802
"207",2633,"American Vodkas",2022-10-23,2141.55203953257,5019.82916732938
"208",2633,"American Vodkas",2022-10-30,2141.55203953257,5019.82918388262
"209",2633,"American Vodkas",2022-11-06,2141.55203953257,5019.82918589133
"210",2633,"American Vodkas",2022-11-13,2141.55203953257,5019.82918613508
"211",2633,"American Vodkas",2022-11-20,2141.55203953257,5019.82918616466
"212",2633,"American Vodkas",2022-11-27,2141.55203953257,5019.82918616825
"213",2633,"American Vodkas",2022-12-04,2141.55203953257,5019.82918616868
"214",2633,"American Vodkas",2022-12-11,2141.55203953257,5019.82918616873
"215",2633,"American Vodkas",2022-12-18,2141.55203953257,5019.82918616874
"216",2633,"American Vodkas",2022-12-25,2141.55203953257,5019.82918616874
"217",2670,"American Vodkas",2022-08-28,725.259847863008,3664.38224839797
"218",2670,"American Vodkas",2022-09-04,533.821469635364,3054.96088083901
"219",2670,"American Vodkas",2022-09-11,420.567618992117,2942.69482269257
"220",2670,"American Vodkas",2022-09-18,540.654679435642,3748.19226986191
"221",2670,"American Vodkas",2022-09-25,666.080845183493,3502.94664266168
"222",2670,"American Vodkas",2022-10-02,794.084817838705,2962.82297652804
"223",2670,"American Vodkas",2022-10-09,597.049338766462,3269.16840163608
"224",2670,"American Vodkas",2022-10-16,511.103475296,3077.76780939711
"225",2670,"American Vodkas",2022-10-23,530.471018783597,3453.75001953831
"226",2670,"American Vodkas",2022-10-30,612.439310669605,2905.81847414571
"227",2670,"American Vodkas",2022-11-06,625.492030434658,2854.61889952728
"228",2670,"American Vodkas",2022-11-13,575.343483387339,3244.29772219327
"229",2670,"American Vodkas",2022-11-20,507.149458565002,2922.30580988326
"230",2670,"American Vodkas",2022-11-27,696.916265013338,3847.149806488
"231",2670,"American Vodkas",2022-12-04,871.021272353371,3756.62030983484
